Parcel,Code,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
IND024,SAEX,2,,0,,0,,17,,0,,0,,0,,0,,3,,,,,,,
IND024,GLLE3,7,,0,,0,,1,,0,,0,,7,,0,,0,,,,,,,
IND024,ANCA10,0,,0,,0,,9,,0,,0,,0,,0,,0,,,,,,,
IND024,MEAL2,0,,0,,0,,0,,0,,0,,5,,0,,0,,,,,,,
IND024,HEAN3,0,,0,,0,,4,,0,,0,,0,,0,,0,,,,,,,
IND024,SATR12,0,,0,,0,,0,,0,,0,,0,,0,,4,,,,,,,
IND024,JUBA,0,,0,,0,,0,,0,,0,,0,,3,,0,,,,,,,
IND024,JUME4,3,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,SPGR,0,,0,,0,,3,,0,,0,,0,,0,,0,,,,,,,
IND024,ARTRT,0,,0,,0,,0,,1,,0,,0,,0,,0,,,,,,,
IND024,ASFA,0,,0,,0,,0,,0,,0,,1,,0,,0,,,,,,,
IND024,HECU3,0,,0,,0,,0,,0,,0,,0,,0,,1,,,,,,,
IND024,SUNI,0,,0,,0,,0,,0,,0,,0,,1,,0,,,,,,,
IND024,ALOC2,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,AMAC2,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,ARCA6,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,ARTRP2,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,ATTR,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,CYDA,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,DAWR2,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,ELAN,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,ERBR7,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,NIOC2,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,ROWO,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,SAGO,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND024,TARA,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,
IND026,ATTO,3,,24,,0,,5,,1,,25,,0,,19,,,,,,,,,
